名称,图片,系列,出荷时间,游览人数,定价,比例,评分,参考价格,现价
RG 机动战士高达UC RX-0 独角兽高达（毁灭模式） Ver.TWC（发光版）,https://r.hpoi.net/gk/cover/n/2019/02/742ddd4a6d8d466296faa5c8e6aa9d96.jpg?date=1589266705,RG,2019,4964,10000,1/100,4,600,893.98
HG 机动战士高达 铁血的奥尔芬斯 月钢 ASW-G-29 亚斯塔禄高达,https://r.hpoi.net/gk/cover/n/2020/11/e2e07f1585174fe5b224374f10567c9f.jpg?date=1606126018,RG,2016,4958,1080,1/144,3.93,64.8,54.22
SD 三国创杰传 SD高达世界 三国创杰传 曹操飞翼高达,https://r.hpoi.net/gk/cover/n/2021/01/884c6590779849baa231b6be4445507a.jpg?date=1609835509,MG,2021,4958,800,1/100,4.33,48,52.67
MG 1/100 新机动战记高达W 无尽的华尔兹 XXXG-01SRC 沙漠高达改(无尽的华尔兹),https://r.hpoi.net/gk/cover/n/2018/04/825247a651de4848b3324927ee13acf6.jpg?date=1608865325,SD,2021,4928,4800,1/100,4.27,288,434.24
MG 1/100 机动战士高达UC MSN-001A1 德尔塔Plus,https://r.hpoi.net/gk/cover/n/2019/07/61ffc2442c474df3b3a24ea438a446b3.jpeg?date=1587111433,MG,2011,4919,4500,1/100,4.48,270,399.29
MG 机动战士高达SEED GAT-X103 暴风高达,https://r.hpoi.net/gk/cover/n/2016/06/bb6a5b35e8e2443ca66b49218e8bbd57.jpg?date=1602728731,NS,2012,4916,4200,1/100,4.33,252,299.32
RG #15  机动战士高达00 GN-001 能天使高达,https://r.hpoi.net/gk/cover/n/2021/04/a410a856cd4246dbba60de9c7b515f9d.jpg?date=1619685302,MG,2015,4896,2500,1/144,4.06,150,148.48
MG  机动战士高达 雷霆宙域战线 全装甲型高达 决战时刻,https://r.hpoi.net/gk/cover/n/2020/04/f886fc8a3df34bb8be160ee44adcb67a.jpg?date=1677468285,HG,2023,4885,7480,1/100,4.53,448.8,599.94
RG 1/144 机动战士高达UC  MSN-06S 新安州,https://r.hpoi.net/gk/cover/n/2020/05/d9c292746d5c4b10b952b865205b0390.jpg?date=1609838897,MG,2016,4840,3800,1/100,4.17,228,201.34
PG 1/60 机动战士高达SEED ASTRAY MBF-P02 异端高达红色机,https://r.hpoi.net/gk/cover/n/2015/07/15a4daeafc334fa4a57b4184ecdb991d.jpg?date=1589791054,HG,2015,4825,18000,1/60,4.75,1080,843.77
HG 1/144 机动战士高达 铁血的奥尔芬斯 EB-06／tc 格雷兹改,https://r.hpoi.net/gk/cover/n/2020/11/6c8c1c9fa6aa423dab7e1321445355ba.jpg?date=1605863981,RG,2015,4787,1080,1/100,4,64.8,81.66
MG 1/100 机动战士高达 RX-78-2 高达 Ver.2.0,https://r.hpoi.net/gk/cover/n/2015/08/1cc8642e08354273aa222ed2bd5dffcf.jpg?date=1587027631,HG,2015,4752,4200,1/100,4.61,252,380.79
BB,https://r.hpoi.net/gk/cover/n/2015/07/1cb936749e8649048091fa67c72137ab.jpg?date=1436247540,MG,2011,4738,2700,1/100,4.43,162,234.39
HGFC  机动武斗传G高达 尊者高达+风云再起,https://r.hpoi.net/gk/cover/n/2022/11/63701c7d92274e06a1e4ab798905bfb7.jpg?date=1669106004,NS,2019,4736,2600,1/144,4.3,156,148.23
MG 机动战士高达ZZ  强化型ZZ高达 Ka版,https://r.hpoi.net/gk/cover/n/2020/04/0c01331d471e448b92446c699ee18c4a.jpg?date=1652411139,MG,2022,4690,8800,1/100,4.16,528,830.53
MG  机动战士高达 雷霆宙域 高机动型渣古“精神感应渣古” Ka版,https://r.hpoi.net/gk/cover/n/2017/12/8158766215ab4cd68f8000a4afac7fcc.jpg?date=1677468831,MG,2018,4681,9000,1/100,4.64,540,626.33
HG00#69 1/144 剧场版 机动战士高达00：先驱者的觉醒 CB-002 疗天使高达,https://r.hpoi.net/gk/cover/n/2021/01/e529d6a695bc40d1b6175a5b99ad3a9e.jpg?date=1609751885,HG,2015,4665,2160,1/144,4.64,129.6,104.22
Figure-Rise Mechanics 龙珠 布玛 布玛的可变式No.19摩托,https://r.hpoi.net/gk/cover/n/2018/09/cdedd3710ded488a818cfff85a2e9de1.jpg?date=1548866611,FRL,2018,4665,4800,1/100,4.26,288,336.17
RG 1/144 新机动战记高达W 无尽的华尔兹 XXXG-01W 飞翼高达 EW Ver. Ka,https://r.hpoi.net/gk/cover/n/2016/01/4861efc86dc3412db5ee970943a95d78.jpg?date=1589188654,MG,2016,4652,2500,1/100,3.85,150,198.52
"RG  机动战士高达0083 星尘的回忆 	RX-78GP01 高达试作1号机玉兰",https://r.hpoi.net/gk/cover/n/2016/06/1ed7c63127b442f49ca2c63acf8ba776.jpg?date=1679383183,MG,2013,4645,2500,1/100,4.31,150,105.03
MG 1/100 RGM-79 吉姆 Ver.2.0,https://r.hpoi.net/gk/cover/n/2015/07/60ad204c0a3a49478b648323c513e8eb.jpg?date=1436342762,MG,2009,4644,3780,1/100,4.54,226.8,318.53
LMHG EVA量产机,https://r.hpoi.net/gk/cover/n/2015/08/e72100bcf7b044319458321012a16126.jpg?date=1439331614,SD,2015,4622,2700,1/100,3.62,162,120.3
MG 1/100 机动战士高达00 GN-0000 00高达 00斩击强化模组,https://r.hpoi.net/gk/cover/n/2015/07/e2c75dfdf0c44110a35f67b42065b1a6.jpg?date=1587110629,HG,2011,4587,6500,1/100,4.57,390,540.41
MG 1/100 独角兽高达 HD配色＋MS CAGE,https://r.hpoi.net/gk/cover/n/2015/08/5bd873b037e04338a4bd7215997c9bc1.jpg?date=1439778154,MG,2015,4584,8100,1/100,4.03,486,752.31
NXEDGE STYLE [MS UNIT] 量子型00 『剧场版 高达OO -A wakening of the Trailblazer-』,https://r.hpoi.net/gk/cover/n/2015/08/8d98df7691d646e79236b8c3db7f7c14.jpg?date=1438620955,HG,2015,4582,3240,1/100,4.59,194.4,228.2
HG 机动战士高达SEED 禁断高达,https://r.hpoi.net/gk/cover/n/2022/11/06d35235019848908ae0d70aacb8e215.jpg?date=1669715402,SD,2003,4576,1575,1/100,3.71,94.5,111.06
MG 机动战士高达独角兽 杰刚D型,https://r.hpoi.net/gk/cover/n/2019/01/a248b4c071cd4921a4f4d97de84461de.jpeg?date=1668565065,MG,2023,4535,4620,1/100,4.25,277.2,187.99
HGGTO 机动战士高达 THE ORIGIN MS-06S 夏亚专用扎古II 赤色彗星Ver.,https://r.hpoi.net/gk/cover/n/2019/01/8e97528e08744fa281ccc984cb2b9e6d.jpg?date=1590401059,HG,2019,4487,1800,1/100,4.57,108,171.38
"PG 1/60 	机动战士高达0083 星尘的回忆? RX-78GP01 高达试作1号机“玉帘”＆ RX-78GP01-Fb 高达试作1号机全方位推进型“玉帘”",https://r.hpoi.net/gk/cover/n/2019/08/f87ba802de9548a19697446d00803504.jpg?date=1589788556,PG,2015,4472,20000,1/60,4.47,1200,1532.84
MG 机动战士高达SEED  正义高达,https://r.hpoi.net/gk/cover/n/2020/05/54adc5c0b9a94a38ae241006dc5d191f.jpeg?date=1678255861,MG,2017,4426,4800,1/100,4.59,288,412.69
1/100 高达巴鲁巴托斯(仮称),https://r.hpoi.net/gk/cover/n/2015/07/24245362905441e2bb4d0b7e16255767.jpg?date=1437561345,TV,2015,4420,2700,1/100,4.1,162,206.54
MG 1/100 机动战士高达SEED 自由高达Ver.2.0 ＆ 基拉?大和,https://r.hpoi.net/gk/cover/n/2020/04/3c020ba84e554838b889b9c97faffa52.jpg?date=1588067420,MG,2017,4413,5700,1/100,4.32,342,543.77
RG 机动战士高达00V战记 GNT-0000/FS 量子型00全刃式 [彩色透明版],https://r.hpoi.net/gk/cover/n/2018/12/3387d7638b4b455986482cf45d39274f.jpg?date=1589266235,RG,2020,4396,3400,1/144,4.38,204,145.67
宇宙战舰大和号2202 爱的战士们 地球联邦仙女座级 DX版,https://r.hpoi.net/gk/cover/n/2018/12/ad6f982ae5ae4a3ba537d8373896b2aa.jpg?date=1544617139,HG,2018,4396,7500,1/100,4.25,450,633
HGUC 1/144 机动战士高达UC RX-0 全装甲独角兽高达,https://r.hpoi.net/gk/cover/n/2015/08/8550320f348a4ba887c4f96c72ef1ae4.jpg?date=1586327646,HG,2015,4381,3200,1/100,4.19,192,156.7
"RG 	机动战士高达SEED ZGMF-X10A 自由高达",https://r.hpoi.net/gk/cover/n/2016/01/afcc32587df6418bb8ccf82bf1522b3b.jpg?date=1588239912,RG,2011,4380,2500,1/100,3.89,150,199.05
