名称,图片,系列,出荷时间,游览人数,定价,比例,评分,参考价格,现价
1/100 机动战士高达 铁血的奥尔芬斯 系列#05 ASW-G-08 巴巴托斯 第六形态,https://r.hpoi.net/gk/cover/n/2020/08/0f9e26e855414bf7ac88dcca2dc9f6f9.jpeg?date=1597044489,TV,2016,3305,3240,1/100,4.67,194.4,162.41
HGUC 机动战士高达NT RX-9/A NT高达 A装备,https://r.hpoi.net/gk/cover/n/2018/12/eda3160a303f4c5a8d372d2dc157c496.jpg?date=1689332332,HG,2018,3302,5500,1/100,4.27,330,454.83
MG 1/100 机动战士高达UC  RGZ-95 里歇尔（一般機） ,https://r.hpoi.net/gk/cover/n/2015/07/2d9a580183d940fca3aa88b2325408e5.jpg?date=1587104703,MG,2010,3298,4800,1/100,4.44,288,311.58
1/350 宇宙战舰大和号,https://r.hpoi.net/gk/cover/n/2015/08/61c01dd2714648729d487a845ece4d7a.jpg?date=1439334108,PG,2015,3295,48600,1/100,4.5,2916,2123.33
HGGTO 1/144机动战士高达 THE ORIGIN MS-06R-1A 高机动型扎古II 改良型 (盖亚/马休専用機),https://r.hpoi.net/gk/cover/n/2015/07/9a3793a2ab3342c59e87207d662cc9ff.jpg?date=1590396401,HG,2015,3289,2000,1/100,4.38,120,126.27
HGAGE#35  机动战士高达AGE AGE-1G 高达AGE-1全古兰沙型,https://r.hpoi.net/gk/cover/n/2020/12/b9bc0076cb7e433d89a6341616bd5e05.jpg?date=1630893695,HG,2015,3287,1728,1/144,4.73,103.68,86.32
HGGTO 机动战士高达 THE ORIGIN MS-06C-6/R6 扎古II,https://r.hpoi.net/gk/cover/n/2020/05/465f39dc838d4d468c40f1e74d0da716.jpeg?date=1590401016,HG,2019,3283,1800,1/100,4.42,108,116.06
Mega Size 1/48 机动战士高达UC RX-0 独角兽高达 Ver. TWC,https://r.hpoi.net/gk/cover/n/2017/06/9218520b8ec3433a9ae58e5d31f30458.jpg?date=1596175220,PG,2020,3281,11000,1/48,4.31,660,458.81
HGBF 1/144 高达创战者：战斗部落 力奇强子(佐崎薰子),https://r.hpoi.net/gk/cover/n/2018/04/e58d57e05b9e4ef789fa7baf3084b20a.jpg?date=1611213959,HG,2021,3275,2500,1/144,3.25,150,183.42
BB,https://r.hpoi.net/gk/cover/n/2015/07/b0391c6ba5de4d58add18dd892195483.jpg?date=1436247766,SD,2011,3274,3780,1/100,4.83,226.8,259.54
HGUC 机动战士高达0080 口袋里的战争 MSM-07E 实验型魔蟹,https://r.hpoi.net/gk/cover/n/2020/04/a9e2109408d14094b00586d7f6e4afda.jpg?date=1624584140,HG,2015,3271,1200,1/144,4,72,65.78
HG00#15 1/144 机动战士高达00 GN-004 双灵高达,https://r.hpoi.net/gk/cover/n/2020/12/990ac9d1f5854f10a3d941cd8aa9903c.jpg?date=1609316721,HG,2008,3265,1296,1/144,4,77.76,121.65
MG #141 机动战士高达UC RGZ-95C里歇尔队长机 ,https://r.hpoi.net/gk/cover/n/2020/04/f8c45957e35048ae8de9e36b898322df.jpg?date=1587108161,MG,2011,3264,5000,1/100,4.31,300,468.92
MG 机动战士高达独角兽 独角兽高达2号机 报丧女妖·命运女神,https://r.hpoi.net/gk/cover/n/2020/04/3789bd6ccdbd481e8f7ab0c4a06ad490.jpg?date=1668566961,MG,2023,3258,6600,1/100,4.46,396,379.95
RG MSV MS-06R-1A 黑色三连星专用扎古II,https://r.hpoi.net/gk/cover/n/2021/04/bdb689998ef44a51a6d189b3ce6159de.jpg?date=1619408716,RG,2021,3254,3300,1/144,4.17,198,169.03
Figure-rise Standard 机动奥特曼 奥特装甲7.5版本/奥特赛文装甲7.5,https://r.hpoi.net/gk/cover/n/2019/01/b5951bc817a64291945cb2c98a39f501.jpeg?date=1611038903,FSL,2019,3245,4500,1/100,4,270,350.99
大胶魂 EVA初号机,https://r.hpoi.net/gk/cover/n/2015/08/6e430683478d49718a839505b13a221b.jpg?date=1439693484,其他,2007,3219,2100,1/100,4,126,90.77
MG 1/100 RX-77-2 钢加农,https://r.hpoi.net/gk/cover/n/2015/07/6516b326b472431e983c14cc0e5ac8f6.jpg?date=1587368015,MG,2015,3199,3000,1/100,4.64,180,136.94
MG 机动战士高达UC RGM-96X 杰斯塔加农,https://r.hpoi.net/gk/cover/n/2019/01/191c0f6e58984e4196c1cededf380a39.jpeg?date=1587966763,MG,2019,3199,5000,1/100,4.68,300,384.2
HGBF 1/144 高达创战者 TRY 岛上热战 MSZ-008X2 ZZII,https://r.hpoi.net/gk/cover/n/2020/12/18f97593f3e44c40952b32d93e0257bd.jpg?date=1607658647,HG,2016,3188,2808,1/144,4,168.48,190.34
机动战舰抚子号,https://r.hpoi.net/gk/cover/n/2015/08/4f3198167d904a87a9cb49b2b58f6b23.jpg?date=1439497611,其他,2013,3187,0,1/48,4.5,0,0
MG 机动战士高达 第08MS小队  RX-79G 陆战型高达,https://r.hpoi.net/gk/cover/n/2015/07/37039c3c06174f8e8e2a1ce5853b47e0.jpg?date=1658114470,MG,2000,3185,3000,1/100,4.31,180,240.78
HGBF 1/144 高达创战者：战斗部落  CB-9696G/C/T 逆生高达,https://r.hpoi.net/gk/cover/n/2021/01/72f138dd72d644439aed28566ad2fe54.jpg?date=1611285400,HG,2021,3184,1800,1/100,4.5,108,101.94
MG #152 机动战士高达SEED GAT-X102 决斗高达 Assault Shroud,https://r.hpoi.net/gk/cover/n/2020/10/61b90ff674d34234b2792943d8e8fdf3.jpg?date=1602728927,MG,2012,3180,4000,1/100,4.45,240,183.71
MG  新机动战记高达W XXXG-01W 飞翼高达(Ver.Ka),https://r.hpoi.net/gk/cover/n/2021/04/0a5252c6a54e4c37aa4a7c73216260f0.jpg?date=1619664141,MG,2004,3177,3500,1/100,4.18,210,290.26
Vehicle Model (015) 星球大战V：帝国反击战 千年隼号,https://r.hpoi.net/gk/cover/n/2019/01/2b3680ceb9724845bf7b7682b2ab76ba.jpg?date=1550927807,其他,2019,3176,600,1/100,4.78,36,52.78
MG 机动战士高达00V GN-001/hs-A01D 雪崩型能天使高达 突进式 & GN-001/hs-A01 雪崩型能天使高达 ,https://r.hpoi.net/gk/cover/n/2020/05/9a5aec2bde0240458acbd37e57d9c537.jpg?date=1588833275,MG,2018,3174,6700,1/100,4.57,402,659.23
MG 1/100 机动战士高达SEED C.E.73 观星者 GAT-X105E+AQM/E-X09S 漆黑强袭高达,https://r.hpoi.net/gk/cover/n/2015/07/b2f087b2f22c48efbd9975aee2d7be48.jpg?date=1586935729,MG,2007,3170,4860,1/100,4.33,291.6,380.94
RG MSV MS-06R-1A 黑色三连星专用扎古II 3机套装,https://r.hpoi.net/gk/cover/n/2021/04/b4c33c8f26254484b888d662c6013ec3.jpg?date=1619408418,RG,2021,3150,9900,1/144,4.5,594,504.7
MG 1/100 高达创战者 GAT-X105B/FP 全装备型创制强袭高达,https://r.hpoi.net/gk/cover/n/2020/12/f7d27f44c1574399a37dffb51c5c9012.jpg?date=1607938347,MG,2015,3145,4200,1/100,4.67,252,345.86
HGUC 机动战士高达战记  伊夫里特 夜战型,https://r.hpoi.net/gk/cover/n/2020/04/2d3d629c4a63453caccbfcf24eeaeadb.jpg?date=1646012860,HG,2022,3133,2530,1/144,4.57,151.8,248.72
RG#03 机动战士高达SEED GAT-X105+AQM/E-X01 翔翼型强袭高达,https://r.hpoi.net/gk/cover/n/2015/07/521734b4ddc946eca34d9ec38a2f396d.jpg?date=1619684875,RG,2011,3132,2500,1/100,4.05,150,100.26
MG 机动战士高达0080：口袋里的战争 RGM-79GS GM Command Space Type,https://r.hpoi.net/gk/cover/n/2018/04/8c22a9cdb5114f83a07ac9de6e124707.jpg?date=1588237709,MG,2017,3132,3500,1/100,4.5,210,206.78
MG 1/100 高达无双2 武者高达MK-2,https://r.hpoi.net/gk/cover/n/2015/07/16b2a227dcf842f3b1b93e17739434f7.jpg?date=1587029729,MG,2010,3131,6000,1/100,4.57,360,576.89
NXEDGE STYLE [MS UNIT],https://r.hpoi.net/gk/cover/n/2015/09/b6f679896f6b423890c4a35cf2b2d6ed.jpg?date=1441124810,NS,2016,3131,2700,1/100,4,162,196.45
HG 1/144 高达AGE-FX,https://r.hpoi.net/gk/cover/n/2015/07/d3ea84fc0947497b98d25ff886bb7e79.jpg?date=1436249903,HG,2015,3126,1728,1/144,4.21,103.68,71.41
RG#04 机动战士高达 MS-06F 量产型 扎古II,https://r.hpoi.net/gk/cover/n/2021/04/469dfd9e55b04a94a0ed4ddcb62a20ff.jpg?date=1619668742,RG,2015,3124,2500,1/144,4.25,150,223
BB,https://r.hpoi.net/gk/cover/n/2016/07/3e90fe0f9c7c4838b06daceb0569c2ed.jpg?date=1469173299,SD,2011,3122,1080,1/100,4.43,64.8,50.48
MG 1/100,https://r.hpoi.net/gk/cover/n/2015/07/bd1081d92e9a4fe8bbd18246629f5164.jpg?date=1436261980,MG,2009,3115,4104,1/100,4.31,246.24,409.22
HGUC 机动战士高达战记 U.C. 0081 FA-78-3 全装甲高达7号机,https://r.hpoi.net/gk/cover/n/2015/07/ec552df5aa104d40bf3edc03a35ec12a.jpg?date=1586516403,HG,2015,3112,1500,1/144,4.56,90,86.33
NXEDGE STYLE [MS UNIT] 强袭自由高达,https://r.hpoi.net/gk/cover/n/2015/07/f595fc5c3cbf4f20a5bd55d4e6fa59f3.jpg?date=1436260115,NS,2014,3109,2700,1/100,4,162,233.13
SDX,https://r.hpoi.net/gk/cover/n/2015/07/4d5503a2d2484daaa470aa6e4737c9f7.jpg?date=1436246772,HG,2010,3109,3780,1/100,4.4,226.8,161.47
HGIBO 机动战士高达 铁血的奥尔芬斯 UGY-R41 曼·罗迪,https://r.hpoi.net/gk/cover/n/2020/11/4e4c34e02e0541d4af10e4175c74ec89.jpg?date=1605865784,HG,2015,3106,1080,1/144,3.67,64.8,54.22
MG 1/100 机动战士高达ZZ  FA-010S 全装甲ZZ高达,https://r.hpoi.net/gk/cover/n/2015/07/e26721217db747909731d6b092d11583.jpg?date=1587027094,MG,2020,3098,6000,1/100,3.5,360,573.47
"HGUC 1/144 	机动战士Z高达 NRX-044 亚希玛",https://r.hpoi.net/gk/cover/n/2020/04/91d428e635494343a05b66ee76ee6476.jpg?date=1586769311,HG,2005,3096,2000,1/100,4.6,120,89.62
NXEDGE STYLE [MS UNIT],https://r.hpoi.net/gk/cover/n/2015/07/01b7ac909f8a42b0a958cabc4189aba7.jpg?date=1436260689,NS,2015,3096,3780,1/100,4.44,226.8,279.18
"HGUC  	机动战士高达独角兽 第七章  玫瑰祖鲁",https://r.hpoi.net/gk/cover/n/2015/07/8da6f072b8574b30991c1dea404be5f7.jpg?date=1669082072,HG,2014,3089,2800,1/100,3.67,168,169.93
HG 1/144  EB-05s 机动战士高达 铁血的奥尔芬斯 施瓦尔贝·格雷兹（麦克吉利斯专用机）,https://r.hpoi.net/gk/cover/n/2020/11/69a0699ed96e4d5c91f040a5c1684389.jpg?date=1606190294,HG,2015,3087,1080,1/144,3.33,64.8,81.52
高达F91 1/100 钢坦克R-44,https://r.hpoi.net/gk/cover/n/2015/07/9ffbc21904ce4bcc8f0d281e5cf17632.jpg?date=1436262346,TV,2013,3086,648,1/100,4.5,38.88,64.5
HG 机动战士月高达 月高达,https://r.hpoi.net/gk/cover/n/2021/12/5a59f4b7aece426489a8d1649cfc1b6a.png?date=1690268343,HG,2018,3085,3000,1/100,4.54,180,223.03
HGUC 1/144 机动战士高达 RX-78-2 高达 Revive ver.,https://r.hpoi.net/gk/cover/n/2015/07/576034dc15dc4f549aebcb81d2e748fb.jpg?date=1586242308,HG,2015,3084,1000,1/100,4.4,60,52.17
MG 机动战士高达F91 F91 高达F91 Ver.2.0,https://r.hpoi.net/gk/cover/n/2020/05/72759df031af44a0be4a21b12552295a.jpg?date=1606988420,MG,2018,3077,4000,1/100,4.44,240,175.14
HG 1/144 强袭自由高达,https://r.hpoi.net/gk/cover/n/2015/07/1522d21f82cd4f64a0c7f900b8f7c297.jpg?date=1586330357,MGHG,2015,3064,1728,1/144,4.35,103.68,73.41
"MG 	机动战士高达 逆袭的夏亚MSV   灵格斯特装型",https://r.hpoi.net/gk/cover/n/2020/05/fb450c511beb457484c9905920fb1f45.jpg?date=1653530014,MG,2023,3041,6050,1/100,4.45,363,459.87
HGUC 机动战士高达0083 星尘的回忆  RGM-79N 吉姆改特装型,https://r.hpoi.net/gk/cover/n/2015/07/eec202fc0577416797cd230bc9732263.jpg?date=1586418541,HG,2011,3031,1300,1/100,4.33,78,75.91
S.H.Figuarts 假面骑士555 假面骑士555 20假面骑士踢/平成二十骑士纪念版,https://r.hpoi.net/gk/cover/n/2021/02/83b1a557970d40f98c7c9929ace37842.jpeg?date=1638762921,SRL,2018,3028,5000,1/100,4.36,300,294.77
HGBF 1/144 高达创战者 TRY 岛上热战 GNT-0000SHIA 西亚量子型00高达,https://r.hpoi.net/gk/cover/n/2020/12/c9634bb1f2524bd193591d915e0847e6.jpg?date=1607657321,HG,2016,3012,1728,1/144,4.5,103.68,76.05
